Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-03-15,The Cabin in the Woods,2011,https://boxd.it/97CBoF,3.5,,"Fängt stereotypisch splatter-teenie movie an, wandelt sich aber zum besseren mit einem Plottwist. Hat etwas von SCP oder Black Mirror
",,2025-03-14
2025-03-15,The Witch: Part 1. The Subversion,2018,https://boxd.it/97CC4h,3.5,,"Fängt langsam an aber verwandelt sich in John Wick auf Crack. Sehr geile Action Szenen, auch wenn es leider zu wenige gibt ( Die ersten fangen fast eine Stunde in dem Film erst an ). Aber es ist aufbauend für den zweiten Teil. Hoffentlich kommt!
",,2025-03-14
2025-03-15,Day Shift,2022,https://boxd.it/97CCBF,3,,"Anfang fängt wie new version von Blade an. Sehr cool. Desto länger der Film geht, desto mehr etwickelt der sich zu einem Fortnite blade. Trotzdem action scenen sind ganz cool.
",,2025-03-14
2025-03-15,The Mechanic,2011,https://boxd.it/97CDi5,4.5,,"Dieser Film ist das was Hitman eigentlich sein sollte. Klassisch, sehr gut gespielt, voraussehbare wendepunkte aber macht den film nicht schlechter
",,2025-03-14
2025-03-15,Mechanic: Resurrection,2016,https://boxd.it/97CDSH,3.5,,"Fängt langsam an, und auch langweilig ehrlich gesagt bis die freundin entführt wird. Ab da non stop RICHTIG gute action, wieder im Hitman style.
",,2025-03-14
2025-03-15,The Transporter,2002,https://boxd.it/97CEi1,4.5,,"Klassiker, kann man nicht mehr was zu sagen. Muss man geguckt haben!
",,2025-03-14
2025-03-15,Copshop,2021,https://boxd.it/97CF3h,2.5,,"Richtiges B-Movie. Aber so richtig. Guter hintergedanke, aber schlecht geschrieben. Woman Power und so.
",,2025-03-14
2025-03-15,Bullet Train,2022,https://boxd.it/97CFrD,3.5,,"ganz coole Action Szenen und Plot ist ganz cool, obwohl einzelne Stories nichts miteinander zutun haben. Wegen der Location kann man mal schauen
",,2025-03-14
2025-03-15,Gonjiam: Haunted Asylum,2018,https://boxd.it/97CG7p,3,,"erinnert SEHR SEHR stark an Grave Encounters. Startet langsam, letzte 30 Minuten ist aber etwas gut action dabei. Leider hat dieser Film nicht so ein hohes Budget gehabt, was man auch erkennt. Paar coole Szenen sind dabei, z.b. die Handszene im raum 402. Anschauen kann man, muss man aber nicht
",,2025-03-14
2025-03-15,Deliver Us from Evil,2014,https://boxd.it/97CGGT,4,,"sehr cooler Detektiv Film vermischt mit Exorzismus und den ganzen kram dazu. Sehr viele krasse abgefuckte szenen, und man ist den ganzen Film über gespannt was als nächstes kommt. Leider Ende hat sich etwas gezogen und das Ende selber war eher meh. Im großen und ganzen ein sehr cooler Film wenn man auf Horrorfilme steht
",,2025-03-14
